X,Y,PID,SSL,PMPROPERTYID,UBID,PROPERTYNAME,PMPARENTPROPERTYID,PARENTPROPERTYNAME,ADDRESSOFRECORD,OWNEROFRECORD,WARD,REPORTEDADDRESS,CITY,STATE,POSTALCODE,YEARBUILT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,REPORTEDBUILDINGGROSSFLOORAREA,BEPS,BEPS_METRIC_TYPE,PROPERTY_BEPS_METRIC_YEAR,BEPS_PROPERTY_GROUP,PROPERTY_BEPS_METRIC,DISTANCE_FROM_BEPS_ESTIMATED,PERFORMANCE_REQUIREMENT_EST,MEETS_BEPS,LASTUPDATE,LATITUDE,LONGITUDE,XCOORD,YCOORD,MAR_ID,GIS_ID,GLOBALID,OBJECTID
-77.0300179132665,38.9033187863076,PM12004262,0248 0814,12004262,,Engine Company 16,,,1018 13TH STREET NW,DISTRICT OF COLUMBIA,2,1018 13TH STREET NW,WASHINGTON,DC,20005,1932,Fire Station,30104,25634.0,185,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Fire station/police station,260.7,-29.04%,-20.00%,Does Not Meet BEPS,2023/07/21 04:00:00+00,38.903311,-77.03001562,397396.45001561,137273.27715972,240645,,{0639A2BF-CEFB-2945-E063-782F520A104C},258123
-77.078425144784,38.944981706439,PM12004263,1783 0804,12004263,,Engine Company 20,,,4300 WISCONSIN AVENUE NW,DISTRICT OF COLUMBIA,3,4300 WISCONSIN AVENUE NW,WASHINGTON,DC,20016,1970,Fire Station,11982,13044.0,185,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Fire station/police station,253.3,-26.96%,-20.00%,Does Not Meet BEPS,2023/09/16 04:00:00+00,38.94497391,-77.07842283,393201.59035288,141900.70676597,222965,,{0639A2BF-CEFC-2945-E063-782F520A104C},258124
-77.0248847585903,38.9106264934945,PM12004380,0365 0832,12004380,,Seaton Elementary School,,,1503 10TH STREET NW,DISTRICT OF COLUMBIA,2,1503 10TH STREET NW,WASHINGTON,DC,20001,1969,K-12 School,46734,65000.0,36,ENERGYSTARSCORE,2019,K-12 School,55,,,Meets BEPS,2023/09/22 04:00:00+00,38.9106187,-77.02488247,397841.91970978,138084.35754682,279203,,{0639A2BF-CEFD-2945-E063-782F520A104C},258125
-77.0748403612183,38.9348539656091,PM12004381,1818 0849,12004381,,Second District Station,,,3320 IDAHO AVENUE NW,DISTRICT OF COLUMBIA,3,3320 Idaho Avenue NW,WASHINGTON,DC,20016,1000,Police Station,33888,33900.0,185,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Fire station/police station,282.5,-34.51%,-20.00%,Does Not Meet BEPS,2023/07/14 04:00:00+00,38.93484617,-77.07483805,393511.43019431,140776.17764669,222229,,{0639A2BF-CEFE-2945-E063-782F520A104C},258126
-76.9695501528058,38.8534075111997,PM12004382,5728 0800,12004382,,Seventh District Station,,,2455 ALABAMA AVENUE SE,DISTRICT OF COLUMBIA,8,2455 ALABAMA AVENUE SE,WASHINGTON,DC,20020,1988,Police Station,96000,45098.0,185,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Fire station/police station,213.7,-13.43%,-20.00%,Does Not Meet BEPS,2023/08/19 04:00:00+00,38.85339973,-76.96954788,402643.26013798,131732.75985871,278162,,{0639A2BF-CEFF-2945-E063-782F520A104C},258127
-77.0304706267333,38.9434824533662,PM12004383,2820 0801,12004383,,Sharpe Health - SWING SPACE,,,4300 13TH STREET NW,DISTRICT OF COLUMBIA HOUSING AUTHORITY,4,4300 13TH STREET NW,WASHINGTON,DC,20011,1950,K-12 School,64237,81340.0,36,ENERGYSTARSCORE,2019,K-12 School,64,,,Meets BEPS,2023/09/16 04:00:00+00,38.94347466,-77.03046833,397358.67009099,141731.79727281,255254,,{0639A2BF-CF00-2945-E063-782F520A104C},258128
-77.0225386327197,38.9123900733084,PM12004384,0420N 0012,12004384,,Shaw (Watha T. Daniel) Library,,,700 R STREET NW,DISTRICT OF COLUMBIA HOUSING AUTHORITY,2,700 R Street NW,WASHINGTON,DC,20001,2010,Library,25284,15638.0,206,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Library,646.8,-68.15%,-20.00%,Does Not Meet BEPS,2023/07/21 04:00:00+00,38.91238228,-77.02253634,398045.45012196,138280.07661655,225963,,{0639A2BF-CF01-2945-E063-782F520A104C},258129
-77.0339748276906,38.984690031968,PM12004385,2740 0021,12004385,,Shepherd Elementary School,,,7800 14TH STREET NW,DISTRICT OF COLUMBIA,4,7800 14TH STREET NW,WASHINGTON,DC,20012,1932,K-12 School,34395,79700.0,36,ENERGYSTARSCORE,2019,K-12 School,27,-9.13%,-20.00%,Does Not Meet BEPS,2023/09/17 04:00:00+00,38.98468223,-77.03397253,397056.58986037,146306.33022449,256319,,{0639A2BF-CF02-2945-E063-782F520A104C},258130
-77.0270078577688,38.9802982700187,PM12004386,2956 0042,12004386,,Shepherd Park Library,,,7420 GEORGIA AVENUE NW,DISTRICT OF COLUMBIA HOUSING AUTHORITY,4,7420 GEORGIA AVENUE NW,WASHINGTON,DC,20012,1990,Library,17194,23095.0,206,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Library,125.4,,,Meets BEPS,2023/09/17 04:00:00+00,38.98029047,-77.02700556,397660.07007859,145818.60037162,253522,,{0639A2BF-CF03-2945-E063-782F520A104C},258131
-76.993169425479,38.8986023609373,PM12004387,0935 0803,12004387,,Sherwood Recreation Center,,,640 10TH STREET NE,DISTRICT OF COLUMBIA,6,640 10th Street NE,WASHINGTON,DC,20002,2003,Fitness Center/Health Club/Gym,45548,45548.0,206,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Recreation,127,,,Meets BEPS,2023/09/17 04:00:00+00,38.89859457,-76.99316714,400592.72036044,136749.30969272,301075,,{0639A2BF-CF04-2945-E063-782F520A104C},258132
-77.000054570666,38.8359178014434,PM12004388,PAR 02430058,12004388,,Simon Elementary School,,,401 MISSISSIPPI AVENUE SE,DISTRICT OF COLUMBIA,8,401 MISSISSIPPI AVENUE SE,WASHINGTON,DC,20032,2002,K-12 School,61169,66200.0,36,ENERGYSTARSCORE,2019,K-12 School,28,-8.11%,-20.00%,Does Not Meet BEPS,2023/09/19 04:00:00+00,38.83591003,-77.00005229,399995.46008815,129790.84042368,294481,,{0639A2BF-CF05-2945-E063-782F520A104C},258133
-76.9301524619641,38.9003727237312,PM12004389,5178 0805,12004389,,Sixth District Station,,,5002 HAYES STREET NE,DISTRICT OF COLUMBIA,7,5002 HAYES STREET NE,WASHINGTON,DC,20019,1000,Police Station,130223,85547.0,185,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Fire station/police station,225.4,-17.92%,-20.00%,Does Not Meet BEPS,2023/09/17 04:00:00+00,38.90036493,-76.9301502,406059.01001424,136948.1296825,294606,,{0639A2BF-CF06-2945-E063-782F520A104C},258134
-76.9384392383271,38.8936542326243,PM12004390,5135 0055,12004390,,Smothers Elementary School,,,4415 CLAY STREET NE,DISTRICT OF COLUMBIA,7,4400 BROOKS STREET NE,WASHINGTON,DC,20019,1923,K-12 School,42465,43000.0,36,ENERGYSTARSCORE,2019,K-12 School,47,,,Meets BEPS,2023/05/04 04:00:00+00,38.89364644,-76.93843697,405340.69037778,136201.80662094,294596,,{0639A2BF-CF07-2945-E063-782F520A104C},258135
-76.9530699959947,38.8840006477524,PM12004391,PAR 02030086,12004391,,Sousa Middle School,,,3650 ELY PLACE SE,DISTRICT OF COLUMBIA,7,3650 ELY PLACE SE,WASHINGTON,DC,20019,1959,K-12 School,92882,160000.0,36,ENERGYSTARSCORE,2019,K-12 School,37,,,Meets BEPS,2023/09/18 04:00:00+00,38.88399286,-76.95306773,404071.99983083,135129.42988478,294584,,{0639A2BF-CF08-2945-E063-782F520A104C},258136
-76.9971810257391,38.8377456463963,PM12004392,PAR 02360114,12004392,,Southeast Tennis and Learning Center,,,601 MISSISSIPPI AVENUE SE,DISTRICT OF COLUMBIA,8,701 Mississippi Avenue SE,WASHINGTON,DC,20032,2001,Fitness Center/Health Club/Gym,192777,39541.0,206,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Recreation,207.3,-0.63%,-20.00%,Does Not Meet BEPS,2023/09/19 04:00:00+00,38.83773787,-76.99717875,400244.93972841,129993.74692672,295830,,{0639A2BF-CF09-2945-E063-782F520A104C},258137
-77.0158340686138,38.8787057355076,PM12004393,0542 0087,12004393,,Southwest Library,,,900 WESLEY PLACE SW,DISTRICT OF COLUMBIA,6,900 WESLEY PLACE SW,WASHINGTON,DC,20024,1000,Library,21957,21600.0,206,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Library,107.8,,,Meets BEPS,2023/07/18 04:00:00+00,38.87869795,-77.01583178,398626.28012538,134540.72675612,295165,,{0639A2BF-CF0A-2945-E063-782F520A104C},258138
-76.9706693326616,38.902606671211,PM12004394,4486 0802,12004394,,Spingarn High School,,,850 26TH STREET NE,DISTRICT OF COLUMBIA,5,2500 BENNING ROAD NE,WASHINGTON,DC,20002,1000,K-12 School,577342,225000.0,36,ENERGYSTARSCORE,2019,K-12 School,100,,,Meets BEPS,2023/05/04 04:00:00+00,38.90259888,-76.97066706,402544.35983535,137194.20684491,294545,,{0639A2BF-CF0B-2945-E063-782F520A104C},258139
-76.9686461921077,38.8592893884808,PM12004395,PAR 02140198,12004395,,Stanton Elementary School,,,2745 NAYLOR ROAD SE,DISTRICT OF COLUMBIA,7,2701 NAYLOR ROAD SE,WASHINGTON,DC,20020,1942,K-12 School,76314,59524.0,36,ENERGYSTARSCORE,2019,K-12 School,5,-36.51%,-20.00%,Does Not Meet BEPS,2023/09/18 04:00:00+00,38.85928161,-76.96864392,402721.50007063,132385.71729609,294547,,{0639A2BF-CF0C-2945-E063-782F520A104C},258140
-77.078982623374,38.9231936866056,PM12004396,1808 0801,12004396,,Stoddert Elementary School,,,4001 CALVERT STREET NW,DISTRICT OF COLUMBIA,3,4001 CALVERT STREET NW,WASHINGTON,DC,20007,1932,K-12 School,16740,91125.0,36,ENERGYSTARSCORE,2019,K-12 School,31,-5.08%,-20.00%,Does Not Meet BEPS,2023/09/23 04:00:00+00,38.9231859,-77.07898031,393151.17033201,139482.09036808,224730,,{0639A2BF-CF0D-2945-E063-782F520A104C},258141
-77.0000066637992,38.8963054906471,PM12004398,0811 0015,12004398,,Stuart Hobson Middle School,,,410 E STREET NE,DISTRICT OF COLUMBIA,6,410 E STREET NE,WASHINGTON,DC,20002,1927,K-12 School,138135,105900.0,36,ENERGYSTARSCORE,2019,K-12 School,42,,,Meets BEPS,2023/09/17 04:00:00+00,38.8962977,-77.00000438,399999.62004215,136494.31664519,294483,,{0639A2BF-CF0E-2945-E063-782F520A104C},258142
-77.0180281119005,38.9693129016225,PM12004399,3283 0801,12004399,,Takoma Community and Aquatic Center,,,6500 3RD STREET NW,DISTRICT OF COLUMBIA,4,301/300 Van Buren Street NW,WASHINGTON,DC,20012,2004,Fitness Center/Health Club/Gym,53937,84204.0,206,WEATHERNORMALZEDSOUREUI_KBTUFT,2019,Recreation,215.2,-4.28%,-20.00%,Does Not Meet BEPS,2023/09/22 04:00:00+00,38.9693051,-77.01802582,398437.88987078,144598.92698541,303506,,{0639A2BF-CF0F-2945-E063-782F520A104C},258143
-77.0227972231441,38.9750506763211,PM12004400,3173 0802,12004400,,Takoma Education Campus,,,7010 PINEY BRANCH ROAD NW,DISTRICT OF COLUMBIA,4,7010 PINEY BRANCH ROAD NW,WASHINGTON,DC,20012,1976,K-12 School,111525,119000.0,36,ENERGYSTARSCORE,2019,K-12 School,44,,,Meets BEPS,2023/09/20 04:00:00+00,38.97504287,-77.02279493,398024.75981921,145235.96657228,250934,,{0639A2BF-CF10-2945-E063-782F520A104C},258144
